Framework,Kernel,RTL Status,RTL Cycles,StreamHLS Cycles,Vitis Cycles,Latency (ns),BRAM,DSP,FF,LUT,URAM,BRAM Util,DSP Util,FF Util,LUT Util,URAM Util
Allo,2mm,Pass,268436,-1,194001,646000.0,870,328,167320,120742,0,21.58%,3.63%,6.42%,9.26%,0.00%
HeteroCL,2mm,Pass,480630,-1,482790,1608000.0,144,176,62213,48436,0,3.57%,1.95%,2.39%,3.72%,0.00%
HIDA,2mm,Pass,245532,-1,245499,818000.0,0,967,137512,85724,0,0.00%,10.72%,5.27%,6.58%,0.00%
ScaleHLS,2mm,Pass,245524,-1,245494,817000.0,0,967,132012,78166,0,0.00%,10.72%,5.06%,6.00%,0.00%
POM,2mm,Pass,1976956,-1,1976919,6583000.0,0,60,8573,5970,0,0.00%,0.66%,0.33%,0.46%,0.00%
Vitis,2mm,Pass,117648026,-1,117648028,392000000.0,0,10,1399,1453,0,0.00%,0.11%,0.05%,0.11%,0.00%
Opt5_220,2mm,Pass,378254,378175,376277,1253000.0,92,222,31026,15949,17,2.28%,2.46%,1.19%,1.22%,1.77%
Opt5_2560,2mm,Pass,36352,35928,35990,150000.0,288,1942,238058,159805,0,7.14%,21.52%,9.13%,12.26%,0.00%
Opt5_9024,2mm,Pass,11832,11418,11470,50340.0,540,7435,950665,640788,0,13.39%,82.39%,36.46%,49.15%,0.00%
Allo,3mm,Fail,0,-1,222975,743000.0,1125,467,225974,191270,0,27.90%,5.18%,8.67%,14.67%,0.00%
HeteroCL,3mm,Pass,464955,-1,467175,1556000.0,277,303,98247,85092,0,6.87%,3.36%,3.77%,6.53%,0.00%
HIDA,3mm,Pass,279370,-1,279356,930000.0,0,623,141605,83356,0,0.00%,6.90%,5.43%,6.39%,0.00%
ScaleHLS,3mm,Pass,266068,-1,266058,886000.0,0,637,123355,80133,0,0.00%,7.06%,4.73%,6.15%,0.00%
POM,3mm,Pass,2034985,-1,2034959,6776000.0,0,92,12638,8483,0,0.00%,1.02%,0.48%,0.65%,0.00%
Vitis,3mm,Pass,127680022,-1,127680025,425000000.0,0,19,2019,2018,0,0.00%,0.21%,0.08%,0.15%,0.00%
Opt5_220,3mm,Pass,601511,601469,598556,1993000.0,272,227,31684,17477,12,6.75%,2.52%,1.22%,1.34%,1.25%
Opt5_2560,3mm,Pass,49092,49019,47952,225000.0,357,2507,294780,159905,30,8.85%,27.78%,11.31%,12.27%,3.12%
Opt5_9024,3mm,Pass,14357,13894,13745,64382.00000000001,752,8026,998884,602569,0,18.65%,88.94%,38.31%,46.22%,0.00%
Allo,atax,Pass,8822,-1,4909,16347.000000000002,2,403,54488,30235,0,0.05%,4.47%,2.09%,2.32%,0.00%
HeteroCL,atax,Pass,29195,-1,30795,103000.0,0,100,18231,11581,0,0.00%,1.11%,0.70%,0.89%,0.00%
HIDA,atax,Pass,13402,-1,13390,44589.0,0,155,22663,20768,0,0.00%,1.72%,0.87%,1.59%,0.00%
ScaleHLS,atax,Pass,19300,-1,19290,64236.00000000001,15,110,26461,22127,0,0.37%,1.22%,1.01%,1.70%,0.00%
POM,atax,Fail,-1,-1,0,0.0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Vitis,atax,Pass,1288583,-1,1290145,4296000.0,0,5,1027,954,0,0.00%,0.06%,0.04%,0.07%,0.00%
Opt5_220,atax,Pass,15855,15794,8055,26823.0,24,202,30518,17037,0,0.60%,2.24%,1.17%,1.31%,0.00%
Opt5_2560,atax,Pass,2180,2105,1141,5603.0,150,1502,183301,105642,0,3.72%,16.64%,7.03%,8.10%,0.00%
Opt5_9024,atax,Pass,2180,2105,1141,5603.0,150,1502,183301,105642,0,3.72%,16.64%,7.03%,8.10%,0.00%
Allo,bicg,Pass,1651,-1,1651,5498.0,0,603,180156,123868,0,0.00%,6.68%,6.91%,9.50%,0.00%
HeteroCL,bicg,Pass,2883,-1,2885,9607.0,0,575,159273,63781,0,0.00%,6.37%,6.11%,4.89%,0.00%
HIDA,bicg,Pass,14446,-1,14434,48065.0,0,116,31841,12645,0,0.00%,1.29%,1.22%,0.97%,0.00%
ScaleHLS,bicg,Pass,14446,-1,14434,48065.0,0,116,31841,12465,0,0.00%,1.29%,1.22%,0.96%,0.00%
POM,bicg,Fail,-1,-1,0,0.0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Vitis,bicg,Pass,1279602,-1,1279606,4261000.0,0,6,953,819,0,0.00%,0.07%,0.04%,0.06%,0.00%
Opt5_220,bicg,Pass,8033,7994,8034,26753.0,8,201,25383,12977,0,0.20%,2.23%,0.97%,1.00%,0.00%
Opt5_2560,bicg,Pass,1112,1065,1113,5466.0,0,1501,162553,89711,0,0.00%,16.63%,6.23%,6.88%,0.00%
Opt5_9024,bicg,Pass,1112,1065,1113,5466.0,0,1501,162553,89711,0,0.00%,16.63%,6.23%,6.88%,0.00%
Allo,gemm,Pass,238622,-1,239025,796000.0,220,175,64281,59330,0,5.46%,1.94%,2.47%,4.55%,0.00%
HeteroCL,gemm,Pass,236034,-1,236036,786000.0,220,175,47581,50348,0,5.46%,1.94%,1.82%,3.86%,0.00%
HIDA,gemm,Pass,176964,-1,176933,589000.0,0,324,81143,50651,0,0.00%,3.59%,3.11%,3.89%,0.00%
ScaleHLS,gemm,Pass,176964,-1,176933,589000.0,0,324,81143,48851,0,0.00%,3.59%,3.11%,3.75%,0.00%
POM,gemm,Pass,1331076,-1,1331040,4432000.0,0,55,6851,4154,0,0.00%,0.61%,0.26%,0.32%,0.00%
Vitis,gemm,Pass,10609802,-1,10610602,35333000.0,0,9,1359,1057,0,0.00%,0.10%,0.05%,0.08%,0.00%
Opt5_220,gemm,Pass,330053,329999,330053,1099000.0,92,194,24058,12580,0,2.28%,2.15%,0.92%,0.96%,0.00%
Opt5_2560,gemm,Pass,24051,23999,24051,80090.0,176,2552,288381,150848,0,4.37%,28.28%,11.06%,11.57%,0.00%
Opt5_9024,gemm,Pass,7100,7039,7100,23643.0,300,8304,943498,492884,0,7.44%,92.02%,36.19%,37.81%,0.00%
Allo,gesummv,Pass,1538,-1,1521,5065.0,3,393,106439,76467,0,0.07%,4.36%,4.08%,5.87%,0.00%
HeteroCL,gesummv,Pass,1787,-1,1793,5971.0,2,393,98044,76116,0,0.05%,4.36%,3.76%,5.84%,0.00%
HIDA,gesummv,Pass,6316,-1,6278,20906.0,0,181,21209,10928,0,0.00%,2.01%,0.81%,0.84%,0.00%
ScaleHLS,gesummv,Pass,6324,-1,6286,20932.0,0,141,21274,11358,0,0.00%,1.56%,0.82%,0.87%,0.00%
POM,gesummv,Pass,6580,-1,6545,21795.0,0,101,13352,7600,0,0.00%,1.12%,0.51%,0.58%,0.00%
Vitis,gesummv,Pass,500020,-1,500022,1665000.0,0,6,1352,883,0,0.00%,0.07%,0.05%,0.07%,0.00%
Opt5_220,gesummv,Pass,3177,3124,3177,10579.0,0,218,27435,14714,0,0.00%,2.42%,1.05%,1.13%,0.00%
Opt5_2560,gesummv,Pass,673,624,675,2248.0,0,922,119977,75784,0,0.00%,10.22%,4.60%,5.81%,0.00%
Opt5_9024,gesummv,Pass,673,624,675,2248.0,0,922,119977,75784,0,0.00%,10.22%,4.60%,5.81%,0.00%
Allo,mvt,Pass,468,-1,470,1565.0,0,4000,537116,253748,0,0.00%,44.33%,20.60%,19.46%,0.00%
HeteroCL,mvt,Pass,2081,-1,2085,6943.0,0,2000,318613,179849,0,0.00%,22.16%,12.22%,13.80%,0.00%
HIDA,mvt,Pass,10060,-1,10051,33470.0,0,162,25090,23429,0,0.00%,1.80%,0.96%,1.80%,0.00%
ScaleHLS,mvt,Pass,15076,-1,15063,50160.0,0,112,30195,24995,0,0.00%,1.24%,1.16%,1.92%,0.00%
POM,mvt,Pass,40036,-1,40024,133000.0,0,42,6169,7611,0,0.00%,0.47%,0.24%,0.58%,0.00%
Vitis,mvt,Pass,2560019,-1,2560022,8525000.0,0,6,1086,1069,0,0.00%,0.07%,0.04%,0.08%,0.00%
Opt5_220,mvt,Pass,8041,7999,8041,26777.0,24,202,30917,17188,0,0.60%,2.24%,1.19%,1.32%,0.00%
Opt5_2560,mvt,Pass,667,624,668,2224.0,256,2306,321710,197761,0,6.35%,25.55%,12.34%,15.17%,0.00%
Opt5_9024,mvt,Pass,550,255,551,2706.0,625,3582,512771,323979,0,15.50%,39.69%,19.67%,24.85%,0.00%
