Kernel                    ,Opt1                    ,Opt2                    ,Opt3                     ,Opt4                       ,Opt5                       ,Opt4 over Opt3 ,Opt5 over Opt3 ,Opt5 over Opt4 ,Opt0
Autoencoder               ,2.98E+07 ($1.00\times$) ,7.44E+06 ($4.00\times$) ,1.19E+06 ($24.91\times$) ,5.06E+05 ($58.80\times$)   ,3.92E+04 ($759.47\times$)  ,          2.36 ,         30.49 ,         12.92 ,
Residual MLP              ,1.84E+07 ($1.00\times$) ,4.60E+06 ($3.99\times$) ,6.75E+05 ($27.19\times$) ,3.83E+05 ($47.98\times$)   ,3.98E+04 ($461.40\times$)  ,          1.76 ,         16.97 ,          9.62 ,
Residual Block            ,5.79E+07 ($1.00\times$) ,7.95E+06 ($7.28\times$) ,7.25E+06 ($7.99\times$)  ,2.09E+06 ($27.70\times$)   ,2.09E+06 ($27.67\times$)   ,          3.47 ,          3.47 ,          1.00 ,
DWSConv. Block            ,6.63E+06 ($1.00\times$) ,1.04E+06 ($6.37\times$) ,3.32E+05 ($19.98\times$) ,1.35E+05 ($49.26\times$)   ,1.35E+05 ($49.26\times$)   ,          2.46 ,          2.46 ,          1.00 ,
Feed Forward              ,6.73E+07 ($1.00\times$) ,1.68E+07 ($4.00\times$) ,1.05E+06 ($63.85\times$) ,1.31E+05 ($511.74\times$)  ,6.60E+04 ($1019.39\times$) ,          8.01 ,         15.97 ,          1.99 ,
Multi-Head Self Attention ,1.05E+07 ($1.00\times$) ,2.69E+06 ($3.91\times$) ,2.68E+05 ($39.34\times$) ,3.95E+04 ($266.82\times$)  ,3.51E+04 ($299.67\times$)  ,          6.78 ,          7.62 ,          1.12 ,
3mm                       ,6.38E+07 ($1.00\times$) ,8.82E+06 ($7.24\times$) ,1.28E+06 ($50.00\times$) ,4.91E+04 ($1300.42\times$) ,4.91E+04 ($1300.42\times$) ,         26.01 ,         26.01 ,          1.00 ,
atax                      ,1.28E+06 ($1.00\times$) ,3.19E+05 ($4.00\times$) ,3.38E+04 ($37.84\times$) ,2.18E+03 ($586.08\times$)  ,2.18E+03 ($586.08\times$)  ,         15.49 ,         15.49 ,          1.00 ,
7mm Balanced              ,1.15E+06 ($1.00\times$) ,2.86E+05 ($4.00\times$) ,6.66E+04 ($17.21\times$) ,5.68E+03 ($201.52\times$)  ,5.68E+03 ($201.52\times$)  ,         11.71 ,         11.71 ,          1.00 ,
7mm Imbalanced            ,4.29E+06 ($1.00\times$) ,1.08E+06 ($3.96\times$) ,1.15E+05 ($37.44\times$) ,5.16E+04 ($83.17\times$)   ,1.00E+04 ($427.74\times$)  ,          2.22 ,         11.42 ,          5.14 ,
Geo. Mean                 ,$1.00\times$            ,$4.70\times$            ,$28.31\times$            ,$152.30\times$             ,$314.89\times$             ,               ,               ,               ,
