Kernel,Opt5 RTL Cycles,Opt5 StreamHLS Cycles,Opt5 Vitis HLS Cycles,empty
Autoencoder,3.92E+04,\textbf{3.62E+04 ($0.92\times$)},3.31E+04 ($0.84\times$),
Residual MLP,3.98E+04,\textbf{3.31E+04 ($0.83\times$)},3.30E+04 ($0.83\times$),
Residual Block,2.09E+06,1.05E+06 ($0.50\times$),\textbf{1.83E+06 ($0.88\times$)},
DWSConv. Block,1.35E+05,8.42E+04 ($0.63\times$),\textbf{1.34E+05 ($1.00\times$)},
Feed Forward,6.60E+04,\textbf{6.58E+04 ($1.00\times$)},6.56E+04 ($0.99\times$),
Multi-Head Self Attention,3.51E+04,\textbf{3.51E+04 ($1.00\times$)},3.47E+04 ($0.99\times$),
3mm,4.91E+04,\textbf{4.90E+04 ($1.00\times$)},4.80E+04 ($0.98\times$),
atax,2.18E+03,\textbf{2.10E+03 ($0.97\times$)},1.14E+03 ($0.52\times$),
7mm Balanced,5.68E+03,\textbf{5.54E+03 ($0.97\times$)},4.24E+03 ($0.75\times$),
7mm Imbalanced,1.00E+04,\textbf{9.20E+03 ($0.92\times$)},8.35E+03 ($0.83\times$),
Geo. Mean,,$0.85\times$,$0.85\times$,
